reading_id,device_id,timestamp,pm25_raw,pm10_raw,co_raw,temperature,humidity,no2_mv,no2_raw
1341,device_05,2025-11-06 15:01:20.450521,19,20,186,25.6,88.6,596.3,552
1342,device_01,2025-11-06 15:04:19.839796,21,25,46,27.5,86,730.2,759
1343,device_05,2025-11-06 15:06:29.040404,18,18,187,25.6,89,597.9,568
1344,device_01,2025-11-06 15:09:28.878053,22,22,47,26.6,86.8,720.1,744
1345,device_05,2025-11-06 15:11:35.103814,12,14,188,25.7,89.3,615.9,580
1346,device_01,2025-11-06 15:14:37.265255,25,25,48,26.7,87,721.9,748
1347,device_05,2025-11-06 15:16:42.209443,19,19,187,25.8,89.2,595.5,561
1348,device_02,2025-11-06 15:20:45.045667,21,21,1082,27.2,85,772.4,771
1349,device_05,2025-11-06 15:21:47.723146,14,16,192,25.7,89.6,618.1,586
1350,device_01,2025-11-06 15:24:59.315017,23,23,47,26.3,87.7,713.1,738
1351,device_05,2025-11-06 15:26:55.152881,14,17,189,25.8,89.6,601.2,564
1352,device_01,2025-11-06 15:30:07.743313,23,24,45,26.4,87.8,703.2,726
1353,device_05,2025-11-06 15:32:02.676425,21,21,182,25.6,90,567.5,521
1354,device_01,2025-11-06 15:35:16.631712,26,29,44,26.4,88,703.7,724
1355,device_05,2025-11-06 15:37:09.901919,22,23,179,25.5,90.7,560.2,511
1356,device_01,2025-11-06 15:40:28.331414,23,25,46,26.5,88,710.7,736
1357,device_05,2025-11-06 15:42:17.193884,27,27,181,25.5,91.1,575.2,529
1358,device_01,2025-11-06 15:45:37.19908,25,26,46,26.5,88,696.5,716
1359,device_05,2025-11-06 15:47:24.383323,31,33,180,25.4,91.3,573.1,529
1360,device_01,2025-11-06 15:50:45.458716,24,28,46,26.5,88.5,708.3,730
1361,device_05,2025-11-06 15:52:31.971751,28,28,175,25.4,91.4,566.6,524
1362,device_01,2025-11-06 15:55:55.76759,23,25,46,26.4,88.3,687.4,704
1363,device_05,2025-11-06 15:57:39.755644,23,23,177,25.4,91.4,542.8,495
1364,device_01,2025-11-06 16:01:04.374534,25,26,45,26.3,88.8,672.1,684
1365,device_05,2025-11-06 16:02:46.584703,22,23,181,25.4,91.4,577.5,538
1366,device_01,2025-11-06 16:06:13.012835,21,21,45,26.5,88.7,695.5,715
1367,device_05,2025-11-06 16:07:53.417733,16,16,174,25.4,91.4,590.6,551
1368,device_01,2025-11-06 16:11:21.45365,17,19,46,27.4,87.7,697.8,717
1369,device_05,2025-11-06 16:13:01.912553,10,10,177,25.4,91.2,577.5,535
1370,device_01,2025-11-06 16:16:32.468956,20,23,47,27.5,87.8,679.8,693
1371,device_05,2025-11-06 16:18:09.336291,15,15,181,25.4,91,572.9,528
1372,device_01,2025-11-06 16:21:40.696438,19,21,45,27.5,87,658.4,668
1373,device_05,2025-11-06 16:23:18.02496,17,18,175,25.3,90.9,578.6,541
1374,device_01,2025-11-06 16:26:49.389564,23,23,46,27.2,86.5,656.8,663
1375,device_05,2025-11-06 16:28:25.143918,11,11,169,25.3,90.7,570.5,523
1376,device_01,2025-11-06 16:32:00.761166,22,23,46,27.8,86,666,676
1377,device_05,2025-11-06 16:33:32.085769,14,15,170,25.4,90.4,582,545
1378,device_01,2025-11-06 16:37:09.982847,19,21,45,27.4,86,683.4,699
1379,device_05,2025-11-06 16:38:38.874536,10,10,166,25.4,90.2,594.3,554
1380,device_01,2025-11-06 16:42:20.937266,12,13,44,27.5,85.2,685.9,704
1381,device_05,2025-11-06 16:43:46.26709,10,10,160,25.4,89.5,565.2,517
1382,device_01,2025-11-06 16:47:29.51285,13,14,46,27.6,85,684.3,700
1383,device_05,2025-11-06 16:48:53.431739,12,13,160,25.4,89.2,541.7,490
1384,device_01,2025-11-06 16:52:37.645486,16,18,48,27.4,85,665.9,675
1385,device_05,2025-11-06 16:53:59.846637,11,11,164,25.4,89.2,539,487
1386,device_01,2025-11-06 16:57:57.197061,16,19,46,27.4,85,657.9,667
1387,device_05,2025-11-06 16:59:07.150065,13,14,164,25.4,88.9,543.3,497
1388,device_01,2025-11-06 17:03:05.821361,14,14,46,27.5,85,653.1,661
1389,device_05,2025-11-06 17:04:14.308124,8,9,160,25.4,88.7,547.7,499
1390,device_01,2025-11-06 17:08:17.408142,10,12,44,27.4,84.7,674.8,686
1391,device_05,2025-11-06 17:09:21.641867,6,6,156,25.3,88.5,545.5,492
1392,device_01,2025-11-06 17:13:26.25441,7,9,45,27.6,84.3,686.3,702
1393,device_05,2025-11-06 17:14:28.667757,8,8,154,25.3,88.5,546.4,495
1394,device_01,2025-11-06 17:18:34.559183,10,10,46,27.7,84,671.8,684
1395,device_05,2025-11-06 17:19:35.269069,6,6,154,25.3,88.5,544.4,501
1396,device_01,2025-11-06 17:23:43.470962,10,10,43,27.6,84,686.4,702
1397,device_05,2025-11-06 17:24:42.435012,7,7,153,25.3,88.3,535.4,484
1398,device_01,2025-11-06 17:28:51.842795,7,9,42,27.3,84,689.8,709
1399,device_05,2025-11-06 17:29:49.768664,6,6,151,25.3,88.3,539.1,489
1400,device_01,2025-11-06 17:34:00.118924,7,7,43,27.7,84,690.9,708
1401,device_05,2025-11-06 17:34:56.536966,5,5,152,25.3,88.3,541.8,493
1402,device_01,2025-11-06 17:39:08.176319,6,7,43,27.2,84,696.4,715
1403,device_05,2025-11-06 17:40:03.255893,5,6,149,25.2,88.4,523.2,467
1404,device_01,2025-11-06 17:44:18.477189,6,6,44,27.1,84,689.7,707
1405,device_05,2025-11-06 17:45:10.053919,6,6,152,25.3,88.4,544.1,493
1406,device_01,2025-11-06 17:49:27.272538,7,7,43,27.4,84.2,672.6,685
1407,device_05,2025-11-06 17:50:16.703614,3,3,149,25.2,88.6,550,498
1408,device_01,2025-11-06 17:54:36.216901,7,8,43,26.6,85.7,681.1,695
1409,device_05,2025-11-06 17:55:23.358462,5,5,150,25.2,88.8,536,484
1410,device_01,2025-11-06 17:59:44.868734,5,5,45,26.3,85.8,688.3,705
1411,device_05,2025-11-06 18:00:30.1078,6,6,152,25.2,88.8,551.1,502
1412,device_01,2025-11-06 18:04:53.972688,5,5,43,26.5,85.2,682.5,697
1413,device_05,2025-11-06 18:05:37.246538,3,3,154,25.3,88.7,557.8,507
1414,device_02,2025-11-06 18:06:25.53398,4,4,1051,26.2,85.2,748.6,738
1415,device_01,2025-11-06 18:10:02.455757,5,5,44,27.4,84.2,686.3,705
1416,device_05,2025-11-06 18:10:45.02748,2,2,148,25.3,88.4,545.8,495
1417,device_01,2025-11-06 18:15:11.510879,6,8,42,26.6,84.8,691.7,709
1418,device_05,2025-11-06 18:15:52.000146,3,3,151,25.3,88.3,551.4,506
1419,device_01,2025-11-06 18:20:23.045456,5,5,42,26.6,85,691.8,708
1420,device_05,2025-11-06 18:20:59.434979,2,2,149,25.3,88.2,553.3,505
1421,device_02,2025-11-06 18:22:46.716956,2,2,1044,26.2,85.2,741.3,735
1422,device_01,2025-11-06 18:25:34.02597,5,5,45,26.4,85,680.2,697
1423,device_05,2025-11-06 18:26:06.265446,4,4,147,25.3,88.1,531.2,477
1424,device_01,2025-11-06 18:30:42.355065,6,7,44,26.6,85,689.9,708
1425,device_05,2025-11-06 18:31:13.073406,4,4,151,25.3,87.9,538.1,487
1426,device_02,2025-11-06 18:33:59.99227,4,4,1064,26.5,85,775.4,780
1427,device_01,2025-11-06 18:35:50.42585,4,4,43,26.7,85,689.7,709
1428,device_05,2025-11-06 18:36:19.52206,3,3,148,25.2,88.1,539.4,492
1429,device_01,2025-11-06 18:41:01.416108,5,5,43,26.6,85,690.4,708
1430,device_05,2025-11-06 18:41:26.282074,1,1,146,25.2,88.4,522.4,467
1431,device_02,2025-11-06 18:44:36.026468,4,4,1054,26.6,85,774.8,771
1432,device_01,2025-11-06 18:46:09.744177,6,6,45,26.4,85,676,688
1433,device_05,2025-11-06 18:46:33.085553,2,2,148,25.2,88.4,537.9,485
1434,device_02,2025-11-06 18:49:45.982224,3,4,1052,26.6,85.2,759.8,754
1435,device_01,2025-11-06 18:51:17.854266,3,3,46,26.3,85,659.3,667
1436,device_05,2025-11-06 18:51:40.92081,2,2,146,25.2,88.4,528,474
1437,device_01,2025-11-06 18:56:26.120286,5,6,45,26.2,85,656.9,664
